courseNo,courseName,genEdType
3010101,DRUG DAILY LIFE (EN/TH),SC
3011102,CA NONMED STUD,SC
3098101,"DRUG DAILY LIFE ",SC
3101101,COMP APP PROF (กลุ่มพิเศษ),SC
3102114,ANL BEHAVIOR (กลุ่มพิเศษ),SC
3107302,BIOSTAT STICS,SC
3200106,FUN ORAL BIO HLTH,SC
3200109,CALCIUM HLTH,SC
3300100,HEALTH CONS PROT,IN
3301102,COSMETICS DLY LIFE,SC
3303100,Q LIFE,IN
3303191,CHEM DRUG DAILY,IN
3304102,DRUG EDUCATION (EN/TH),SC
3305101,FOOD FOR HEALTH,IN
3306101,USEFUL PLANTS,SC
3307101,BASIC AROMATHERAPY,SC
3308100,MICRO ORGAN/LIFE,SC
3308101,HYG ENV MICROBIO,SC
3309101,LIFE/HEALTH,SC
3309102,OUR BODY,SC
3310101,MAN & TOXIC SUBS,SC
3315102,CANN PL HLTH PROD,IN
3401102,TAX LAW DLY LIFE,SO
3401105,LAW ENTREPRENEUR,SO
3401124,INTRO IP LAW,SO
3402103,INTRO CRIM LAW,SO
3404103,LAW LAND MGT,SO
3404109,LAW COMP TECH,SO
3404113,INTRO WTO LAW,SO
3404115,INTRO PUBLIC LAW,SO
3404117,INTRO TO LAW (EN/TH),SO
3404122,LEGAL LOGICS (กลุ่มพิเศษ),SO
3404123,LEGAL HISTORY (กลุ่มพิเศษ),SO
3404124,LAW AND SOCIETY (กลุ่มพิเศษ),SO
3404128,LEGAL LOGIC LANG,SO
3404129,LEGAL ETHICS (กลุ่มพิเศษ),SO
3404130,LAW ECON(กลุ่มพิเศษ),SO
3404131,FREE ASM LAW,SO
3404201,LAW ACCTG (กลุ่มพิเศษ),SO
3404202,LAW ECON ANAL (กลุ่มพิเศษ),SO
3404307,LEGAL RES (กลุ่มพิเศษ),SO
3404405,LEGAL ETHICS (กลุ่มพิเศษ),SO
3404450,UNDSTG CHIN,SO
3404500,ENV LAW SOC,SO
3405102,INTRO INTL LAW,SO
3494101,LAW HUM RES MGT,SO
3500303,ART HIST FILM,HU
3500304,FUND ART CULT MGT,SO
3500305,CUR STUD,HU
3500111,INTRO FINE APP ART,HU
3501120,HIST WEST ART I (EN/TH),HU
3501214,THAI ARTS I,HU
3501217,EAR MOD ART,HU
3501222,HIST ORNTAL ART I (กลุ่มพิเศษ),HU
3501224,HIST THAI ARTS,HU
3502222,HIST CREAT ART,HU
3502271,HIST FASHION (กลุ่มพิเศษ),HU
3502272,HIST GRAPH DSGN (กลุ่มพิเศษ),HU
3503101,CL MUS SCRN (EN/TH),HU
3503111,INTRO CLASSIC (EN/TH),HU
3600202,NUTRITION,SC
3600204,HLTH SEXUALITY,SC
3600205,FAM HLTH CARE,SC
3600206,COM HLTH DEV,SC
3600207,HLTH LIVING,SC
3600208,TOB ALC HLTH,SC
3600209,EMER DISAS CARE,SC
3600301,NUTRI HLTH,SC
3600302,WELLNESS SOCIETY,SC
3600303,"DIS SURV EMER CARE  ",SC
3600304,NEW GEN PAREN,SC
3600305,EMPWRG TEENS,IN
3640203,MTRNL CHILD HEALTH,SC
3700104,INI HC NEW GEN (INTER) (กลุ่มพิเศษ),SC
3700105,FOOD SCI ART (กลุ่มพิเศษ),SC
3700107,SEXUAL DEVELOPMENT (EN/TH) (กลุ่มพิเศษ),SC
3700108,HLTH PREV INFC DIS (กลุ่มพิเศษ),SC
3700109,IMMUNTY OF LIFE (กลุ่มพิเศษ),SC
3700110,GOOD HEALTH (กลุ่มพิเศษ),SC
3700113,BLOOD ESS LIFE,SC
3700114,INTRO ENVI TOX,SC
3700210,MOD TECH HLTH,SC
3705102,RADIA DAILY LIFE,SC
3705103,PREP DIAG RAD PROC,SC
3741101,COMP HLTH SCI (กลุ่มพิเศษ),SC
3741102,LIVE SMART HLTHY (กลุ่มพิเศษ),SC
3741107,"ROAD TO  MT (กลุ่มพิเศษ)     ",SC
3741108,"COMP HLTH SCI (กลุ่มพิเศษ)     ",SC
3741207,MOD TECH (กลุ่มพิเศษ),SC
3741208,LIFE LEARN SKILLS (กลุ่มพิเศษ),SC
3741329,PATIENT SAFETY (กลุ่มพิเศษ),SC
3741341,"SW PKG STATS  ANLYS (กลุ่มพิเศษ)  ",SC
3741426,START-UP BUSIN MT (กลุ่มพิเศษ),SC
3742100,PHY THR DAILY LIFE (กลุ่มพิเศษ),SC
3742102,EXERCISE THERAPY (กลุ่มพิเศษ),SC
3742106,BLC BODY MIND QOL (กลุ่มพิเศษ),SC
3742107,LIFE KNOWLEDGE (กลุ่มพิเศษ),SC
3743422,WEIGHT CONTROL (กลุ่มพิเศษ),SC
3800101,GENERAL PSYCHOLOGY,SO
3800105,INTRO PSY (EN/TH),SO
3800130,SOC PSY EVERY LIFE (INTER),SO
3800202,PSY LIFE WORK (EN/TH),SO
3800250,HUMAN RELATIONS,SO
3800251,MENTAL HEALTH,SO
3800252,LEADER PER DEV,IN
3800309,PSY CONSERV NATURE,IN
3800351,PSY THINK CREAT,SO
3900200,EX/PS HLTH (EN/TH),SC
3900202,FUNC EX,SC
3900203,THEK MTNG EX,SC
3900204,REC BUS TOUR,IN
3914101,REC QUAL LIFE DEV (EN/TH),IN
4000101,AGR PROD DEV CONS (EN/TH),IN
4000102,AGRI NAT ENV MGT,IN
4000203,INTRO SUFF ECON,SO
4000204,INTRO AGRO FOOD CH (EN/TH),SO
4000205,ORG AGR,SC
4000206,HIST THAI AGR,SO
4000208,INTRO AGR ECON (EN/TH),SO
4000209,INTRO AGR RES MGT,SO
4000210,QUAN ANAL AGRI BUS,SC
5100101,POP/DEV,SO
5600160,IP DATA SECUR MGT,SO
5600161,SE INNO,SO
5600170,"ETHICS GOVERN TECH ",SO
5600180,"ENG FOUND INNO ",SC
5600191,SCI DAILY LIFE (กลุ่มพิเศษ) (INTER),SC
5609101,NUM METH INNO,SC
5695101,DES DEV PROD PROT (กลุ่มพิเศษ) (INTER),IN
5695102,PROF COMM SKL INNO (กลุ่มพิเศษ) (INTER),IN
5698101,EMG TECH LLL (กลุ่มพิเศษ) (INTER),SC
